246,a.link-secondary:nth-child(2),a.h6:nth-child(3),a.link-secondary:nth-child(4),a.link-secondary:nth-child(5),.flex-wrap > .h4,,246,"#client-body > div.main-wrapper > div.main-wrapper-body.container.mt-4 > div > div.main-wrapper-body-details-top-section > div.series-image-section.pb-3 > div > div > img
#carouselSeriesImage > div > div > div > div > div.d-flex.justify-content-center.align-items-center.card-body-img > div > img",.series-info-section > .mt-4,".h3 > .h3
h3.h3",/html/body/div[3]/div[2]/div/div[3]/div[2]/div[2]/div/div/div/div[6]/div/div/div[1]/div/table,"//div[@aria-label=""Page 2""]","//div[@aria-label=""Page 3""]",,,<h2>,,,,,,
Link,Category,Hãng,,Series,Model,Title,Datasheet URL,Path,Description,Features,Tech1,Tech 2,Tech 3,Thông số kỹ thuật,sapo,Meta,Status-meta,ID Cat,ID Brand,Sản phẩm cùng Series,Chữ ký,Content
https://www.newland-id.com/en/products/protection-handling/nls-hs-mt-001,protection-handling,Newland,,,NLS-HS-MT-001,NLS-HS-MT-001 Hand Strap for MT93xx and MT9557 series,https://www.newland-id.com/datasheets/601/nls-hs-mt-001-hand-strap-for-mt93xx-and-mt9557-series.pdf,https://newlandemea.katanapim.com/content/images/thumbs/000/0000621_NLS-HS-MT-001.png,"Contact us today and start making your processes easier, faster and more intuitive!","Accessories Standard: Mounting screws
Part Number: Description
NLS-HS-MT-001: Hand Strap including mounting screws for the MT93xx and MT9557 series",protection-handling,,,"<table class=""Table_Products_Style"">
<thead>
<tr>
<th>Thông số kỹ thuật</th>
<th>Chi tiết</th>
</tr>
</thead>
<tbody>
<tr><td>Accessories Standard</td><td>Mounting screws</td></tr>
<tr><td>Part Number</td><td>Description</td></tr>
<tr><td>NLS-HS-MT-001</td><td>Hand Strap including mounting screws for the MT93xx and MT9557 series</td></tr>
</tbody>
</table>",,,,,,,,
https://www.newland-id.com/en/products/protection-handling/nls-hs-mt9557,protection-handling,Newland,,,NLS-HS-MT9557,NLS-HS-MT9557 Hand Strap for MT95 Pro III,https://www.newland-id.com/datasheets/588/nls-hs-mt9557-hand-strap-for-mt95-pro-iii.pdf,https://newlandemea.katanapim.com/content/images/thumbs/000/0000621_NLS-HS-MT-001.png,Hand Strap including mounting screws for MT9557 series,"Accessories Standard: Mounting screws
Part Number: Description
NLS-HS-MT9557: Hand Strap including mounting screws for MT9557 series",base-stations,,,"<table class=""Table_Products_Style"">
<thead>
<tr>
<th>Thông số kỹ thuật</th>
<th>Chi tiết</th>
</tr>
</thead>
<tbody>
<tr><td>Accessories Standard</td><td>Mounting screws</td></tr>
<tr><td>Part Number</td><td>Description</td></tr>
<tr><td>NLS-HS-MT9557</td><td>Hand Strap including mounting screws for MT9557 series</td></tr>
</tbody>
</table>",,,,,,,,
https://www.newland-id.com/en/products/base-stations/nls-ccsm-01,base-stations,Newland,,,NLS-CCSM-01,NLS-CCSM-01 Heavy Duty Suction for Car Cradle,https://www.newland-id.com/datasheets/587/nls-ccsm-01-heavy-duty-suction-for-car-cradle.pdf,https://newlandemea.katanapim.com/content/images/thumbs/000/0000689_nls-ccsm-01.png,"Contact us today and start making your processes easier, faster and more intuitive!","Dimensions: 190 mm
Warranty Standard: 3 Months
Part Number: Description",peripherals,,,"<table class=""Table_Products_Style"">
<thead>
<tr>
<th>Thông số kỹ thuật</th>
<th>Chi tiết</th>
</tr>
</thead>
<tbody>
<tr><td>Dimensions</td><td>190 mm</td></tr>
<tr><td>Warranty Standard</td><td>3 Months</td></tr>
<tr><td>Part Number</td><td>Description</td></tr>
<tr><td>NLS-CCSM-01</td><td>Heavy duty suction mounting kit 190mm total lenght, AMPS holes, for NLS-CC-MT93-01 and NLS-CC-MT95-01; including 4 X Screws and 4 X Hexagon nut</td></tr>
</tbody>
</table>",,,,,,,,
https://www.newland-id.com/en/products/base-stations/nls-cc-mt95-01,base-stations,Newland,,,NLS-CC-MT95-01,NLS-CC-MT95-01 Car Cradle for MT95 Pro III,https://www.newland-id.com/datasheets/586/nls-cc-mt95-01-car-cradle-for-mt95-pro-iii.pdf,https://newlandemea.katanapim.com/content/images/thumbs/000/0000772_nls-cc-mt95-01-1.png,"Contact us today and start making your processes easier, faster and more intuitive!","Warranty Standard: 6 Months
Part Number: Description
NLS-CC-MT95-01: Car cradle with Pogo-Pin charging, Pigtail 6-Pin Molex Connector (length 12cm), incl. Tilt Swivel (no connection cable included; order NLS-CPA-CCMT93-01 or NLS-DCC-CCMT93-01 separately) for Newland MT95",mobile-computers,,,"<table class=""Table_Products_Style"">
<thead>
<tr>
<th>Thông số kỹ thuật</th>
<th>Chi tiết</th>
</tr>
</thead>
<tbody>
<tr><td>Warranty Standard</td><td>6 Months</td></tr>
<tr><td>Part Number</td><td>Description</td></tr>
<tr><td>NLS-CC-MT95-01</td><td>Car cradle with Pogo-Pin charging, Pigtail 6-Pin Molex Connector (length 12cm), incl. Tilt Swivel (no connection cable included; order NLS-CPA-CCMT93-01 or NLS-DCC-CCMT93-01 separately) for Newland MT95</td></tr>
</tbody>
</table>",,,,,,,,
https://www.newland-id.com/en/products/protection-handling/nls-sp-mt9557,protection-handling,Newland,,,NLS-SP-MT9557,NLS-SP-MT9557 Glass Screen Protector for MT9557,https://www.newland-id.com/datasheets/581/nls-sp-mt9557-glass-screen-protector-for-mt9557.pdf,https://newlandemea.katanapim.com/content/images/thumbs/000/0000644_screen_protector.png,"Contact us today and start making your processes easier, faster and more intuitive!","Part Number: Description
NLS-SP-MT9557: Glass Screen Protector for MT9557 series",cables,,,"<table class=""Table_Products_Style"">
<thead>
<tr>
<th>Thông số kỹ thuật</th>
<th>Chi tiết</th>
</tr>
</thead>
<tbody>
<tr><td>Part Number</td><td>Description</td></tr>
<tr><td>NLS-SP-MT9557</td><td>Glass Screen Protector for MT9557 series</td></tr>
</tbody>
</table>",,,,,,,,
https://www.newland-id.com/en/products/base-stations/nls-mcd9557-1c,base-stations,Newland,,,NLS-MCD9557-1C,NLS-MCD9557-1C Charging Cradle for MT9557,https://www.newland-id.com/datasheets/580/nls-mcd9557-1c-charging-cradle-for-mt9557.pdf,https://newlandemea.katanapim.com/content/images/thumbs/000/0000830_nls-mcd9557-01.png,"Contact us today and start making your processes easier, faster and more intuitive!","Warranty Standard: 1 Year
Part Number: Description
NLS-MCD9557-1C: Charging Cradle for MT9557 (connectable up to 4pcs; no Power Supply included; order ADP710 or AD60-D-M)",industrial-handheld-scanners,,,"<table class=""Table_Products_Style"">
<thead>
<tr>
<th>Thông số kỹ thuật</th>
<th>Chi tiết</th>
</tr>
</thead>
<tbody>
<tr><td>Warranty Standard</td><td>1 Year</td></tr>
<tr><td>Part Number</td><td>Description</td></tr>
<tr><td>NLS-MCD9557-1C</td><td>Charging Cradle for MT9557 (connectable up to 4pcs; no Power Supply included; order ADP710 or AD60-D-M)</td></tr>
</tbody>
</table>",,,,,,,,
https://www.newland-id.com/en/products/protection-handling/nls-rb9557-01,protection-handling,Newland,,,NLS-RB9557-01,NLS-RB9557-01 Protective Case for MT9557,https://www.newland-id.com/datasheets/579/nls-rb9557-01-protective-case-for-mt9557.pdf,https://newlandemea.katanapim.com/content/images/thumbs/000/0000826_nls-rb9557-01.png,"Contact us today and start making your processes easier, faster and more intuitive!","Part Number: Description
NLS-RB9557-01: Protective Case for MT9557",charging-power,,,"<table class=""Table_Products_Style"">
<thead>
<tr>
<th>Thông số kỹ thuật</th>
<th>Chi tiết</th>
</tr>
</thead>
<tbody>
<tr><td>Part Number</td><td>Description</td></tr>
<tr><td>NLS-RB9557-01</td><td>Protective Case for MT9557</td></tr>
</tbody>
</table>",,,,,,,,
https://www.newland-id.com/en/products/peripherals/nls-mpg9557-01,peripherals,Newland,,,NLS-MPG9557-01,NLS-MPG9557-01 Pistol Grip for MT9557,https://www.newland-id.com/datasheets/578/nls-mpg9557-01-pistol-grip-for-mt9557.pdf,https://newlandemea.katanapim.com/content/images/thumbs/000/0000824_nls-mpg9557-01.png,"Contact us today and start making your processes easier, faster and more intuitive!","Warranty Standard: 1 Year
Part Number: Description
NLS-MPG9557-01: Pistol grip for MT9557",industrial-fixed-mount-scanners,,,"<table class=""Table_Products_Style"">
<thead>
<tr>
<th>Thông số kỹ thuật</th>
<th>Chi tiết</th>
</tr>
</thead>
<tbody>
<tr><td>Warranty Standard</td><td>1 Year</td></tr>
<tr><td>Part Number</td><td>Description</td></tr>
<tr><td>NLS-MPG9557-01</td><td>Pistol grip for MT9557</td></tr>
</tbody>
</table>",,,,,,,,
https://www.newland-id.com/en/products/mobile-computers/mt95-kambur-pro-iii,mobile-computers,Newland,,,MT95,MT95 Kambur Pro III,https://www.newland-id.com/datasheets/572/mt95-kambur-pro-iii.pdf,https://newlandemea.katanapim.com/content/images/thumbs/000/0000820_mt95_kambur_pro_iii_1-tag-new.png,"The MT95 Kambur Pro III replaces the previous MT95 Kambur Pro II, bringing upgraded connectivity and performance to a trusted mobile computer series. Equipped with 5G connectivity, Wi-Fi 6 technology, and Bluetooth 5.2, it ensures seamless connectivity in busy environments. Running on Android 15 GMS and carrying the AER seal, the Kambur Pro III is designed to deliver exceptional performance across industries such as logistics, warehousing, retail, hospitality, and events.","1D: Code128, Code 49, Code 16K, (GS1128) UCC/EAN-128, AIM-128, EAN- 8, EAN-13, UPC-E, UPC-A, ITF, ITF 6, ITF 14, Matrix 2 of 5, Industrial 25, Standard 2 of 5, Code39, ISSN, ISBN, CodaBar, Code93, Code 11, Plessey, MSI Plessey, RSS.
2D: Aztec, Composite, CS Code, Maxicode, Micro PDF, Micro QR, PDF 417, QR Code, Data Matrix, DotCode .
Aiming: Cross laser (650nm)",nwear-accessories,,,"<table class=""Table_Products_Style"">
<thead>
<tr>
<th>Thông số kỹ thuật</th>
<th>Chi tiết</th>
</tr>
</thead>
<tbody>
<tr><td>1D</td><td>Code128, Code 49, Code 16K, (GS1128) UCC/EAN-128, AIM-128, EAN- 8, EAN-13, UPC-E, UPC-A, ITF, ITF 6, ITF 14, Matrix 2 of 5, Industrial 25, Standard 2 of 5, Code39, ISSN, ISBN, CodaBar, Code93, Code 11, Plessey, MSI Plessey, RSS.</td></tr>
<tr><td>2D</td><td>Aztec, Composite, CS Code, Maxicode, Micro PDF, Micro QR, PDF 417, QR Code, Data Matrix, DotCode .</td></tr>
<tr><td>Aiming</td><td>Cross laser (650nm)</td></tr>
<tr><td>Depth of Field Code 39 (5mil)</td><td>120 mm - 280 mm</td></tr>
<tr><td>Depth of Field DataMatrix (10mil)</td><td>110 mm - 260 mm</td></tr>
<tr><td>Depth of Field EAN 13 (13mil)</td><td>70 mm - 600 mm</td></tr>
<tr><td>Depth of Field PDF417 (6.7mil)</td><td>110 mm - 230 mm</td></tr>
<tr><td>Depth of Field QR (15mil)</td><td>55 mm - 400 mm</td></tr>
<tr><td>Illumination</td><td>White LED</td></tr>
<tr><td>Image Sensor</td><td>1280 x 800 CMOS</td></tr>
<tr><td>Scan Modes</td><td>Trigger Mode</td></tr>
<tr><td>Scan Rate</td><td>60 frames per second</td></tr>
<tr><td>Current Operating System</td><td>Android 15, GMS, Android Enterprise Recommended (AER)</td></tr>
<tr><td>Memory Flash</td><td>64GB</td></tr>
<tr><td>Memory RAM</td><td>6GB</td></tr>
<tr><td>Memory Storage Expansion (max.)</td><td>2TB</td></tr>
<tr><td>Processor</td><td>2.4 GHz, octa-core 64-bit processor</td></tr>
<tr><td>AC Adapter</td><td>18W Fast Charging Supported</td></tr>
<tr><td>Battery Type</td><td>Li-Ionen Polymer Smartbattery, 3.87V, 5100mAh, support hot swap</td></tr>
<tr><td>Buttons</td><td>Virtual on-screen buttons: Menu, Home, Back; Physical buttons: Left and right Scan keys, Volume +/-, Power</td></tr>
<tr><td>Dimensions</td><td>167(L) × 78(W) × 20(H) mm</td></tr>
<tr><td>Display/Touch Panel</td><td>6” (720×1440), Gorilla glass, Multi-point capacitive touchscreen</td></tr>
<tr><td>Expansion Slot</td><td>Nano + eSIM + TF</td></tr>
<tr><td>Front camera</td><td>8 MP, Fixed focus</td></tr>
<tr><td>Interfaces</td><td>USB-C</td></tr>
<tr><td>Notifications</td><td>Speaker, Vibration, Multi-color LEDs</td></tr>
<tr><td>Rear camera</td><td>13 MP, LED flash, Auto focus</td></tr>
<tr><td>Sensors</td><td>Magnetic sensor, Light & proximity sensor, Gyroscope, Acceleration sensor, Fingerprint</td></tr>
<tr><td>Weight</td><td>314g</td></tr>
<tr><td>GPS</td><td>Beidou, GLONASS, Galileo, GPS (AGPS)</td></tr>
<tr><td>NFC</td><td>13.56MHz</td></tr>
<tr><td>NFC: Reading Distance</td><td>up to 3 cm</td></tr>
<tr><td>NFC: Supported Standards</td><td>ISO14443A/B, ISO15693, ISO18000-3, MIFARE, FeliCa RF, Kovio, NFC Forum Type 1-4 Tags</td></tr>
<tr><td>WLAN RADIO</td><td>Built-in 802.11 a/b/g/n/ax, support 2.4G and 5G, k/v/r compliant</td></tr>
<tr><td>WPAN RADIO</td><td>Bluetooth 5.2</td></tr>
<tr><td>WWAN RADIO</td><td>2G GSM (B2/B3/B5/B8); 3G WCDMA (B1/B2/B5/B8); 4G TDD-LTE (B34/B38/B39/B40/B41/B42/B43), FDD-LTE (B1/B2/B3/B5/B7/B8/B20/B28a&b); 5G NR (N1/N3/N5/N8/N28/N38/N41/N77/N78/N79)</td></tr>
<tr><td>Drop</td><td>1.5m drops to concrete (for six sides, one drop per side)</td></tr>
<tr><td>Humidity</td><td>5% to 95% (non-condensing)</td></tr>
<tr><td>IP Rating</td><td>IP67</td></tr>
<tr><td>Operating Temperature</td><td>-20°C to 50°C (-4°F to 122°F)</td></tr>
<tr><td>Storage Temperature</td><td>-30°C to 60°C (-22°F to 140°F)</td></tr>
<tr><td>Android Roadmap</td><td>https://www.newland-id.com/en/support/android-roadmap-for-newland-devices/</td></tr>
<tr><td>Configuration Tools</td><td>Ndevor</td></tr>
<tr><td>MDM (certified)</td><td>Ndevor, SOTI, 42Gears</td></tr>
<tr><td>Certifications Hardware</td><td>CE</td></tr>
<tr><td>Comprehensive Service Contract</td><td>3 Years, 5 Years</td></tr>
<tr><td>Warranty Extension</td><td>+2 Years, +3 Years</td></tr>
<tr><td>Warranty Standard</td><td>2 Years</td></tr>
<tr><td>Accessories Optional</td><td>USB-C cable, Multiplug adapter, 4-slot battery charger, Charging cradle, Pistol grip, Battery, Screen protector, Hand strap, Rubber boot</td></tr>
<tr><td>Accessories Standard</td><td>Hand strap, USB-C cable, Battery, Screen protector, Multiplug adapter, Protective case</td></tr>
<tr><td>All versions</td><td>MT95 Kambur Pro III, Protective case, USB-C cable, Battery, Screen protector, Hand strap, Multiplug adapter</td></tr>
<tr><td>Part Number</td><td>Description</td></tr>
<tr><td>NLS-MT9557-W5</td><td>MT9557 Kambur Pro III Mobile Computer with 6"" touchscreen, 2D CMOS Mega Pixel imager with Laser Aimer (CM60E), 6GB/64GB, BT, WiFi6, 5G, GPS, NFC and 8M(Front)+13M(Rear) Camera, fingerprint, eSIM, backup battery. Incl. protective case, USB-C cable, battery, screen protector,  hand strap, and multiplug adapter(EU+UK). OS: Android 15 GMS AER.</td></tr>
<tr><td>NLS-MT9557-W5-DO</td><td>MT9557 Kambur Pro III Mobile Computer with 6"" touchscreen, 2D CMOS Mega Pixel imager with Laser Aimer (CM60E), 6GB/64GB, BT, WiFi6, 5G (data only), GPS, NFC and 8M(Front)+13M(Rear) Camera, fingerprint, eSIM, backup battery .Incl. protective case, USB-C cable, battery, screen protector,  hand strap, and multiplug adapter(EU+UK). OS: Android 15 GMS AER.</td></tr>
</tbody>
</table>",,,,,,,,
